document,topicId,distribution,period
0,0,0.1701,0
0,1,0.8299,0
1,0,0.2089,0
1,1,0.7911,0
2,0,0.3071,0
2,1,0.6929,0
3,0,0.2901,0
3,1,0.7099,0
4,0,0.3489,0
4,1,0.6511,0
5,0,0.5536,0
5,1,0.4464,0
6,0,0.2039,0
6,1,0.7961,0
7,0,0.2634,0
7,1,0.7366,0
8,0,0.3641,0
8,1,0.6359,0
9,0,0.6288,0
9,1,0.3712,0
10,0,0.2654,0
10,1,0.7346,0
11,0,0.1386,0
11,1,0.8614,0
12,0,0.4759,0
12,1,0.5241,0
13,0,0.2447,0
13,1,0.7553,0
14,0,0.2071,0
14,1,0.7929,0
15,0,0.4671,0
15,1,0.5329,0
16,0,0.2502,0
16,1,0.7498,0
17,0,0.2663,0
17,1,0.7337,0
18,0,0.4871,0
18,1,0.5129,0
19,0,0.3817,0
19,1,0.6183,0
20,0,0.6067,0
20,1,0.3933,0
21,0,0.5679,0
21,1,0.4321,0
22,0,0.5555,0
22,1,0.4445,0
23,0,0.6128,0
23,1,0.3872,0
24,0,0.6955,0
24,1,0.3045,0
25,0,0.4587,0
25,1,0.5413,0
26,0,0.4092,0
26,1,0.5908,0
27,0,0.2352,0
27,1,0.7648,0
28,0,0.3998,0
28,1,0.6002,0
29,0,0.4078,0
29,1,0.5922,0
30,0,0.1759,0
30,1,0.8241,0
31,0,0.3937,0
31,1,0.6063,0
32,0,0.5294,0
32,1,0.4706,0
33,0,0.5951,0
33,1,0.4049,0
34,0,0.416,0
34,1,0.584,0
35,0,0.1085,0
35,1,0.8915,0
36,0,0.2918,0
36,1,0.7082,0
37,0,0.2338,0
37,1,0.7662,0
38,0,0.6295,0
38,1,0.3705,0
39,0,0.125,0
39,1,0.875,0
40,0,0.2428,0
40,1,0.7572,0
41,0,0.4001,0
41,1,0.5999,0
42,0,0.329,0
42,1,0.671,0
43,0,0.3419,0
43,1,0.6581,0
44,0,0.4407,0
44,1,0.5593,0
45,0,0.2826,0
45,1,0.7174,0
46,0,0.2729,0
46,1,0.7271,0
47,0,0.1446,0
47,1,0.8554,0
48,0,0.7772,0
48,1,0.2228,0
49,0,0.1114,0
49,1,0.8886,0
50,0,0.0297,0
50,1,0.9703,0
51,0,0.2746,0
51,1,0.7254,0
52,0,0.2093,0
52,1,0.7907,0
53,0,0.4616,0
53,1,0.5384,0
54,0,0.1825,0
54,1,0.8175,0
55,0,0.2252,0
55,1,0.7748,0
56,0,0.1585,0
56,1,0.8415,0
57,0,0.1981,0
57,1,0.8019,0
58,0,0.0672,0
58,1,0.9328,0
59,0,0.2616,0
59,1,0.7384,0
60,0,0.2385,0
60,1,0.7615,0
61,0,0.3628,0
61,1,0.6372,0
62,0,0.001,0
62,1,0.999,0
63,0,0.538,0
63,1,0.462,0
64,0,0.547,0
64,1,0.453,0
65,0,0.143,0
65,1,0.857,0
66,0,0.2074,0
66,1,0.7926,0
67,0,0.2222,0
67,1,0.7778,0
68,0,0.4197,0
68,1,0.5803,0
69,0,0.2312,0
69,1,0.7688,0
70,0,0.4726,0
70,1,0.5274,0
71,0,0.7497,0
71,1,0.2503,0
72,0,0.6665,0
72,1,0.3335,0
73,0,0.7892,0
73,1,0.2108,0
74,0,0.3177,0
74,1,0.6823,0
75,0,0.2731,0
75,1,0.7269,0
76,0,0.0965,0
76,1,0.9035,0
77,0,0.267,0
77,1,0.733,0
78,0,0.6158,0
78,1,0.3842,0
79,0,0.686,0
79,1,0.314,0
80,0,0.5875,0
80,1,0.4125,0
81,0,0.6874,0
81,1,0.3126,0
82,0,0.4323,0
82,1,0.5677,0
83,0,0.5,0
83,1,0.5,0
84,0,0.1678,0
84,1,0.8322,0
85,0,0.6152,0
85,1,0.3848,0
86,0,0.2664,0
86,1,0.7336,0
87,0,0.56,0
87,1,0.44,0
88,0,0.3429,0
88,1,0.6571,0
89,0,0.7056,0
89,1,0.2944,0
90,0,0.6355,0
90,1,0.3645,0
91,0,0.4864,0
91,1,0.5136,0
92,0,0.5061,0
92,1,0.4939,0
93,0,0.4211,0
93,1,0.5789,0
94,0,0.888,0
94,1,0.112,0
95,0,0.6015,0
95,1,0.3985,0
96,0,0.6661,0
96,1,0.3339,0
97,0,0.5932,0
97,1,0.4068,0
98,0,0.3413,0
98,1,0.6587,0
99,0,0.4571,0
99,1,0.5429,0
100,0,0.2729,0
100,1,0.7271,0
101,0,0.3216,0
101,1,0.6784,0
102,0,0.8417,0
102,1,0.1583,0
103,0,0.5725,0
103,1,0.4275,0
104,0,0.4001,0
104,1,0.5999,0
105,0,0.515,0
105,1,0.485,0
106,0,0.167,0
106,1,0.833,0
107,0,0.1221,0
107,1,0.8779,0
108,0,0.1742,0
108,1,0.8258,0
109,0,0.3825,0
109,1,0.6175,0
110,0,0.3559,0
110,1,0.6441,0
111,0,0.3463,0
111,1,0.6537,0
112,0,0.2944,0
112,1,0.7056,0
113,0,0.3601,0
113,1,0.6399,0
114,0,0.4376,0
114,1,0.5624,0
115,0,0.6596,0
115,1,0.3404,0
116,0,0.6524,0
116,1,0.3476,0
117,0,0.6962,0
117,1,0.3038,0
118,0,0.4306,0
118,1,0.5694,0
119,0,0.7495,0
119,1,0.2505,0
120,0,0.5093,0
120,1,0.4907,0
121,0,0.888,0
121,1,0.112,0
122,0,0.5963,0
122,1,0.4037,0
123,0,0.5109,0
123,1,0.4891,0
124,0,0.8417,0
124,1,0.1583,0
125,0,0.6092,0
125,1,0.3908,0
126,0,0.7607,0
126,1,0.2393,0
127,0,0.8233,0
127,1,0.1767,0
128,0,0.4737,0
128,1,0.5263,0
129,0,0.5973,0
129,1,0.4027,0
130,0,0.714,0
130,1,0.286,0
131,0,0.4286,0
131,1,0.5714,0
132,0,0.6728,0
132,1,0.3272,0
133,0,0.661,0
133,1,0.339,0
134,0,0.5571,0
134,1,0.4429,0
135,0,0.2721,0
135,1,0.7279,0
136,0,0.1541,0
136,1,0.8459,0
137,0,0.3387,0
137,1,0.6613,0
138,0,0.168,0
138,1,0.832,0
139,0,0.1568,0
139,1,0.8432,0
140,0,0.7141,0
140,1,0.2859,0
141,0,0.48,0
141,1,0.52,0
142,0,0.6996,0
142,1,0.3004,0
143,0,0.5868,0
143,1,0.4132,0
144,0,0.5793,0
144,1,0.4207,0
145,0,0.5784,0
145,1,0.4216,0
146,0,0.8566,0
146,1,0.1434,0
147,0,0.4076,0
147,1,0.5924,0
148,0,0.4305,0
148,1,0.5695,0
149,0,0.5833,0
149,1,0.4167,0
150,0,0.2859,0
150,1,0.7141,0
151,0,0.4643,0
151,1,0.5357,0
152,0,0.4846,0
152,1,0.5154,0
153,0,0.4612,0
153,1,0.5388,0
154,0,0.48,0
154,1,0.52,0
155,0,0.3937,0
155,1,0.6063,0
156,0,0.5454,0
156,1,0.4546,0
157,0,0.6007,0
157,1,0.3993,0
158,0,0.5,0
158,1,0.5,0
159,0,0.6427,0
159,1,0.3573,0
160,0,0.394,0
160,1,0.606,0
161,0,0.7929,0
161,1,0.2071,0
162,0,0.4803,0
162,1,0.5197,0
163,0,0.5861,0
163,1,0.4139,0
164,0,0.34,0
164,1,0.66,0
165,0,0.2358,0
165,1,0.7642,0
166,0,0.2435,0
166,1,0.7565,0
167,0,0.1581,0
167,1,0.8419,0
168,0,0.2407,0
168,1,0.7593,0
169,0,0.2727,0
169,1,0.7273,0
170,0,0.1788,0
170,1,0.8212,0
171,0,0.2579,0
171,1,0.7421,0
172,0,0.3078,0
172,1,0.6922,0
173,0,0.1062,0
173,1,0.8938,0
174,0,0.1255,0
174,1,0.8745,0
175,0,0.2312,0
175,1,0.7688,0
176,0,0.2244,0
176,1,0.7756,0
177,0,0.1785,0
177,1,0.8215,0
178,0,0.2502,0
178,1,0.7498,0
179,0,0.4533,0
179,1,0.5467,0
180,0,0.5498,0
180,1,0.4502,0
181,0,0.1669,0
181,1,0.8331,0
182,0,0.6639,0
182,1,0.3361,0
183,0,0.7802,0
183,1,0.2198,0
184,0,0.4127,0
184,1,0.5873,0
185,0,0.4163,0
185,1,0.5837,0
186,0,0.4584,0
186,1,0.5416,0
187,0,0.4688,0
187,1,0.5312,0
188,0,0.3328,0
188,1,0.6672,0
189,0,0.7988,0
189,1,0.2012,0
190,0,0.0776,0
190,1,0.9224,0
191,0,0.1419,0
191,1,0.8581,0
192,0,0.5606,0
192,1,0.4394,0
193,0,0.3693,0
193,1,0.6307,0
194,0,0.7998,0
194,1,0.2002,0
195,0,0.3941,0
195,1,0.6059,0
196,0,0.3336,0
196,1,0.6664,0
197,0,0.4344,0
197,1,0.5656,0
198,0,0.7713,0
198,1,0.2287,0
199,0,0.3516,0
199,1,0.6484,0
200,0,0.6537,0
200,1,0.3463,0
201,0,0.5864,0
201,1,0.4136,0
202,0,0.7777,0
202,1,0.2223,0
203,0,0.8711,0
203,1,0.1289,0
204,0,0.1678,0
204,1,0.8322,0
205,0,0.6899,0
205,1,0.3101,0
206,0,0.446,0
206,1,0.554,0
207,0,0.6537,0
207,1,0.3463,0
208,0,0.7725,0
208,1,0.2275,0
209,0,0.2794,0
209,1,0.7206,0
210,0,0.6571,0
