document,topicId,distribution,period
0,0,0.227,0
0,1,0.0639,0
0,2,0.0621,0
0,3,0.0928,0
0,4,0.0727,0
0,5,0.1473,0
0,6,0.0954,0
0,7,0.2388,0
1,0,0.1685,0
1,1,0.0969,0
1,2,0.0328,0
1,3,0.1408,0
1,4,0.0992,0
1,5,0.1164,0
1,6,0.034,0
1,7,0.3113,0
2,0,0.1301,0
2,1,0.023,0
2,2,0.1057,0
2,3,0.0491,0
2,4,0.0615,0
2,5,0.178,0
2,6,0.0001,0
2,7,0.4526,0
3,0,0.0003,0
3,1,0.2752,0
3,2,0.1185,0
3,3,0.1339,0
3,4,0.0003,0
3,5,0.0003,0
3,6,0.1301,0
3,7,0.3414,0
4,0,0.4636,0
4,1,0.0258,0
4,2,0.1682,0
4,3,0.0747,0
4,4,0.0002,0
4,5,0.1299,0
4,6,0.1375,0
4,7,0.0002,0
5,0,0.2435,0
5,1,0.1846,0
5,2,0.0805,0
5,3,0.0801,0
5,4,0.0873,0
5,5,0.0808,0
5,6,0.1215,0
5,7,0.1217,0
6,0,0.13,0
6,1,0.1066,0
6,2,0.0001,0
6,3,0.0503,0
6,4,0.0001,0
6,5,0.0001,0
6,6,0.1749,0
6,7,0.5378,0
7,0,0.1091,0
7,1,0.0239,0
7,2,0.0234,0
7,3,0.0216,0
7,4,0.0001,0
7,5,0.2547,0
7,6,0.3376,0
7,7,0.2295,0
8,0,0.1721,0
8,1,0.316,0
8,2,0.0001,0
8,3,0.0748,1
8,4,0.1841,1
8,5,0.2526,1
8,6,0.0001,1
8,7,0.0001,1
9,0,0.023,1
9,1,0.4165,1
9,2,0.0,1
9,3,0.0,1
9,4,0.091,1
9,5,0.0,1
9,6,0.0819,1
9,7,0.3875,1
10,0,0.1176,1
10,1,0.0003,1
10,2,0.0003,1
10,3,0.7897,1
10,4,0.063,1
10,5,0.0287,1
10,6,0.0003,1
10,7,0.0003,1
11,0,0.1815,1
11,1,0.0002,1
11,2,0.0002,1
11,3,0.3513,1
11,4,0.0002,1
11,5,0.07,1
11,6,0.1049,1
11,7,0.2917,1
12,0,0.4624,1
12,1,0.0004,1
12,2,0.0443,1
12,3,0.4915,1
12,4,0.0004,1
12,5,0.0004,1
12,6,0.0004,1
12,7,0.0004,1
13,0,0.3062,1
13,1,0.0002,1
13,2,0.0439,1
13,3,0.3691,1
13,4,0.0002,1
13,5,0.0782,1
13,6,0.0894,1
13,7,0.1128,1
14,0,0.3721,1
14,1,0.0002,1
14,2,0.0262,1
14,3,0.1108,1
14,4,0.0287,1
14,5,0.0502,1
14,6,0.2152,1
14,7,0.1966,1
15,0,0.2042,1
15,1,0.0502,1
15,2,0.0144,1
15,3,0.1246,1
15,4,0.2596,1
15,5,0.0002,1
15,6,0.0164,1
15,7,0.3304,1
16,0,0.078,1
16,1,0.0005,1
16,2,0.0005,1
16,3,0.6326,1
16,4,0.149,1
16,5,0.0637,1
16,6,0.0005,1
16,7,0.0754,1
17,0,0.2163,1
17,1,0.1578,1
17,2,0.1328,1
17,3,0.0006,1
17,4,0.0006,1
17,5,0.35,1
17,6,0.0006,1
17,7,0.1413,1
18,0,0.0353,1
18,1,0.0003,1
18,2,0.0337,1
18,3,0.8197,1
18,4,0.11,1
18,5,0.0003,1
18,6,0.0003,1
18,7,0.0003,1
19,0,0.1345,1
19,1,0.1807,1
19,2,0.1003,1
